driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
D133,South,Contract,12,88.2,3.99,Flexible,1
D134,South,Parttime,4,61.5,3.59,Flexible,1
D135,Riverside,Parttime,2,70.3,4.4,Flexible,1
D136,Airport,Fulltime,4,89.5,3.99,Evening,1
D137,North,Contract,10,65.6,4.4,Flexible,1
D138,Ctr,Parttime,11,69.2,4.61,Evening,1
D139,South,Fulltime,10,71.4,4.99,Evening,1
D140,North,Fulltime,7,80.1,3.92,Morning,1
D141,North,Parttime,14,71.4,3.44,Flexible,1
D142,Airport,Fulltime,12,98.7,4.23,Night,1
D143,Central,Fulltime,6,68.5,4.14,Night,1
D144,West,Fulltime,6,85.0,3.83,Morning,1
D145,North,Fulltime,11,68.4,4.09,Morning,1
D146,Airport,Contract,1,75.2,4.36,Morning,1
D147,West,Fulltime,13,66.4,3.8,Night,1
D148,Central,Parttime,10,53.1,4.4,Flexible,1
D149,Airport,Fulltime,7,81.5,4.55,Night,1
D150,East,Fulltime,12,88.1,4.08,Night,1
D151,East,Fulltime,2,71.3,4.69,Flexible,1
D152,North,Parttime,5,75.2,4.06,Flexible,1
D153,East,Fulltime,8,82.3,3.83,Evening,1
D154,Airport,Fulltime,4,67.0,4.35,Evening,1
D155,Central,Parttime,6,69.5,3.98,Morning,1
D156,South,Fulltime,14,84.5,3.62,Evening,1
D157,South,Fulltime,13,74.1,4.42,Evening,1
D158,Central,Fulltime,5,81.4,4.45,Morning,1
D159,Airport,Fulltime,11,68.6,4.18,Morning,1
D160,East,Fulltime,12,72.8,4.48,Morning,1
D161,North,Fulltime,1,84.7,4.02,Evening,1
D162,Riverside,Contract,11,69.0,4.62,Night,1
D163,Riverside,Fulltime,11,78.2,4.5,Morning,0
D164,Central,Fulltime,5,76.1,4.07,Flexible,1
D165,North,Parttime,10,82.2,3.89,Night,1
D166,West,Parttime,7,74.6,4.07,Night,1
D167,South,Parttime,12,75.3,4.64,Night,1
D168,North,Fulltime,12,93.6,3.84,Morning,1
D169,East,Contract,5,77.6,3.81,Flexible,1
D170,West,Fulltime,14,75.2,4.48,Morning,1
